[INFO] 2025-01-12 10:25:06,903 autoreload Watching for file changes with StatReloader
[INFO] 2025-01-12 11:03:18,769 autoreload Watching for file changes with StatReloader
[INFO] 2025-01-12 11:11:37,212 autoreload Watching for file changes with StatReloader
[INFO] 2025-01-17 00:20:17,652 autoreload Watching for file changes with StatReloader
[INFO] 2025-01-17 00:21:46,572 autoreload Watching for file changes with StatReloader
[INFO] 2025-01-17 00:24:36,071 basehttp "GET / HTTP/1.1" 200 935
[INFO] 2025-01-17 00:24:36,119 basehttp "GET /static/drf-yasg/redoc-init.js HTTP/1.1" 200 2566
[INFO] 2025-01-17 00:24:36,260 basehttp "GET /?format=openapi HTTP/1.1" 200 18334
[INFO] 2025-01-17 01:36:57,108 basehttp "GET / HTTP/1.1" 200 935
[INFO] 2025-01-17 01:36:57,299 basehttp "GET /?format=openapi HTTP/1.1" 200 18334
[INFO] 2025-01-17 01:53:17,365 basehttp "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
[INFO] 2025-01-17 01:53:18,148 basehttp "POST /api/auth/register/ HTTP/1.1" 201 483
[INFO] 2025-01-17 01:54:38,785 basehttp "POST /api/auth/register/ HTTP/1.1" 201 483
[INFO] 2025-01-17 01:59:51,436 basehttp "POST /api/auth/register/ HTTP/1.1" 201 483
[INFO] 2025-01-17 02:04:42,189 basehttp "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
[WARNING] 2025-01-17 02:04:42,689 log Conflict: /api/auth/register/
[WARNING] 2025-01-17 02:04:42,690 basehttp "POST /api/auth/register/ HTTP/1.1" 409 50
[INFO] 2025-01-17 02:04:54,059 basehttp "POST /api/auth/register/ HTTP/1.1" 201 483
[INFO] 2025-01-17 02:09:21,082 basehttp "POST /api/auth/register/ HTTP/1.1" 201 483
[INFO] 2025-01-17 02:09:30,342 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[INFO] 2025-01-17 02:09:30,343 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[INFO] 2025-01-17 02:09:30,414 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 159
[INFO] 2025-01-17 02:09:30,422 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 159
[INFO] 2025-01-17 02:10:05,359 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 159
[INFO] 2025-01-17 02:12:05,216 basehttp "OPTIONS /api/organizations/f5bd6848-fcc4-4516-ba2f-d356854e32b7/ HTTP/1.1" 200 0
